#separator:tab
#html:true
#tags column:3
What is a polynomial-time reduction?	A problem \(X\) is polynomial-time reducible to a problem \(Y\), written \[X \le_P Y,\] if arbitrary instances of \(X\) can be solved using a polynomial number of standard computational steps plus a polynomial number of calls to an oracle or black-box algorithm for \(Y\).	cs630 reductions definitions
What does the notation \(X \le_P Y\) mean?	The notation \[X \le_P Y\] means that problem \(X\) is polynomial-time reducible to problem \(Y\). Informally: if we had an efficient solver for \(Y\), then we could use it to solve \(X\) efficiently.	cs630 reductions notation
In a reduction \(X \le_P Y\), which problem is used as the black box?	In \[X \le_P Y,\] problem \(Y\) is used as the black-box or oracle problem. We transform an instance of \(X\) into an instance of \(Y\), solve the \(Y\)-instance, and convert the answer back into a solution for \(X\).	cs630 reductions notation
What is the high-level structure of a polynomial-time reduction?	To prove \(X \le_P Y\):<br><ol><li>Take an instance \(I\) of problem \(X\).</li><li>Transform \(I\) into an instance \(I'\) of problem \(Y\).</li><li>Use a solver for \(Y\) on \(I'\).</li><li>Convert the answer for \(I'\) into an answer for \(I\).</li></ol>	cs630 reductions method
What does a polynomial-time reduction prove?	A reduction \[X \le_P Y\] shows that \(Y\) is at least as hard as \(X\), up to polynomial-time transformations. If \(Y\) can be solved in polynomial time, then \(X\) can also be solved in polynomial time.	cs630 reductions implications
What is an oracle or black-box algorithm in reductions?	An oracle or black-box algorithm for a problem \(Y\) is a solver that we can call without knowing how it works internally. In reductions, we assume access to such a solver for \(Y\) and ask whether it can help us solve another problem \(X\).	cs630 reductions definitions
What is the Longest Path problem?	Given a weighted graph \(G\) and an integer \(k\), the Longest Path problem asks whether there is a simple path in \(G\) of length at least \(k\).	cs630 reductions longest_path
What is a simple path?	A simple path is a path that does not repeat vertices. Each vertex appears at most once in the path.	cs630 graphs definitions
Why is a path a certificate for the Longest Path problem?	If the answer is YES, a certificate is the path itself. We can verify in polynomial time that the path is valid, simple, and has length at least \(k\).	cs630 reductions longest_path certificates
What is the Hamiltonian Path problem?	Given an unweighted graph \[G=(V,E),\] the Hamiltonian Path problem asks whether there is a simple path that contains every vertex exactly once.	cs630 reductions hamiltonian_path
Why is a Hamiltonian path a certificate for the Hamiltonian Path problem?	If the answer is YES, the certificate is the path itself. We can verify in polynomial time that consecutive vertices are connected by edges, no vertex is repeated, and every vertex in \(V\) appears exactly once.	cs630 reductions hamiltonian_path certificates
How can Hamiltonian Path be reduced to Longest Path?	Given an unweighted graph \(G=(V,E)\) with \(n=|V|\), assign weight \(1\) to every edge and ask whether there is a simple path of length at least \(n-1\). Thus, \[\textsc{Hamiltonian Path} \le_P \textsc{Longest Path}.\]	cs630 reductions hamiltonian_path longest_path
Why does the reduction from Hamiltonian Path to Longest Path use \(k=n-1\)?	A Hamiltonian path in a graph with \(n\) vertices visits every vertex exactly once and therefore contains exactly \(n-1\) edges. If every edge has weight \(1\), a Hamiltonian path has length \(n-1\).	cs630 reductions hamiltonian_path longest_path
What is the Circuit Value Problem?	Given a Boolean circuit and input values for its input gates, the Circuit Value Problem asks us to compute the output value of the circuit.	cs630 reductions circuit_value
How is a Boolean circuit commonly represented?	A Boolean circuit is commonly represented as a directed acyclic graph, or DAG. Vertices represent input nodes, output nodes, and internal logic gates such as \(\mathrm{AND}\), \(\mathrm{OR}\), and \(\mathrm{NOT}\).	cs630 reductions circuit_value dags
What is a topological ordering?	A topological ordering of a directed acyclic graph is an ordering of the vertices such that for every directed edge \[u \to v,\] vertex \(u\) appears before vertex \(v\) in the ordering.	cs630 graphs topological_sort definitions
